klub_naziv,kratica,nadimak,klub_grad,klub_drzava,osnovan,predsjednik,trener,liga,web,stadion_naziv,stadion_grad,stadion_drzava,adresa,kapacitet,podloga,ime,prezime,igrac_drzava,pozicija,datum_rod
Liverpool FC,LIV,The Reds,Liverpool,Engleska,1892-06-03,Tom Werner,Jürgen Klopp,Premier League,https://www.liverpoolfc.com/,Anfield,Liverpool,Engleska,"Anfield Road, L4 0TH",53394,hibridna trava,Virgil,van Dijk,Nizozemska,DF,1991-07-08
Liverpool FC,LIV,The Reds,Liverpool,Engleska,1892-06-03,Tom Werner,Jürgen Klopp,Premier League,https://www.liverpoolfc.com/,Anfield,Liverpool,Engleska,"Anfield Road, L4 0TH",53394,hibridna trava,Jordan,Henderson,Engleska,MF,1990-06-17
Liverpool FC,LIV,The Reds,Liverpool,Engleska,1892-06-03,Tom Werner,Jürgen Klopp,Premier League,https://www.liverpoolfc.com/,Anfield,Liverpool,Engleska,"Anfield Road, L4 0TH",53394,hibridna trava,Mohamed,Salah,Egipat,FW,1992-06-15
Atlético Madrid,ATM,Los Colchoneros,Madrid,Španjolska,1903-04-26,Enrique Cerezo,Diego Simeone,La Liga,https://en.atleticodemadrid.com/,Estadio Metropolitano,Madrid,Španjolska,"Avenida de Luis Aragonés 4, 28022",68456,prirodna trava,Jan,Oblak,Slovenija,GK,1993-01-07
Atlético Madrid,ATM,Los Colchoneros,Madrid,Španjolska,1903-04-26,Enrique Cerezo,Diego Simeone,La Liga,https://en.atleticodemadrid.com/,Estadio Metropolitano,Madrid,Španjolska,"Avenida de Luis Aragonés 4, 28022",68456,prirodna trava,José María,Giménez,Španjolska,DF,1995-01-20
Atlético Madrid,ATM,Los Colchoneros,Madrid,Španjolska,1903-04-26,Enrique Cerezo,Diego Simeone,La Liga,https://en.atleticodemadrid.com/,Estadio Metropolitano,Madrid,Španjolska,"Avenida de Luis Aragonés 4, 28022",68456,prirodna trava,Marcos,Llorente,Španjolska,MF,1995-01-30
Atlético Madrid,ATM,Los Colchoneros,Madrid,Španjolska,1903-04-26,Enrique Cerezo,Diego Simeone,La Liga,https://en.atleticodemadrid.com/,Estadio Metropolitano,Madrid,Španjolska,"Avenida de Luis Aragonés 4, 28022",68456,prirodna trava,Luis,Suárez,Urugvaj,FW,1987-01-24
Real Madrid CF,RMA,Los Blancos,Madrid,Španjolska,1902-03-06,Florentino Pérez,Carlo Ancelotti,La Liga,https://www.realmadrid.com/en,Estadio Santiago Bernabéu,Madrid,Španjolska,"Avenida de Concha Espina 1, 28036",81044,hibridna trava,Thibaut,Courtois,Belgija,GK,1992-05-11
Real Madrid CF,RMA,Los Blancos,Madrid,Španjolska,1902-03-06,Florentino Pérez,Carlo Ancelotti,La Liga,https://www.realmadrid.com/en,Estadio Santiago Bernabéu,Madrid,Španjolska,"Avenida de Concha Espina 1, 28036",81044,hibridna trava,David,Alaba,Austrija,DF,1992-06-24
Real Madrid CF,RMA,Los Blancos,Madrid,Španjolska,1902-03-06,Florentino Pérez,Carlo Ancelotti,La Liga,https://www.realmadrid.com/en,Estadio Santiago Bernabéu,Madrid,Španjolska,"Avenida de Concha Espina 1, 28036",81044,hibridna trava,Luka,Modrić,Hrvatska,MF,1985-09-09
Real Madrid CF,RMA,Los Blancos,Madrid,Španjolska,1902-03-06,Florentino Pérez,Carlo Ancelotti,La Liga,https://www.realmadrid.com/en,Estadio Santiago Bernabéu,Madrid,Španjolska,"Avenida de Concha Espina 1, 28036",81044,hibridna trava,Karim,Benzema,Francuska,FW,1987-12-19
FC Bayern München,BAY,Die Bayern,München,Njemačka,1900-02-27,Herbert Hainer,Julian Nagelsmann,Bundesliga,https://fcbayern.com/en,Allianz Arena,München,Njemačka,"Werner-Heisenberg-Allee 25, 80939",75024,prirodna trava,Manuel,Neuer,Njemačka,GK,1986-03-27
FC Bayern München,BAY,Die Bayern,München,Njemačka,1900-02-27,Herbert Hainer,Julian Nagelsmann,Bundesliga,https://fcbayern.com/en,Allianz Arena,München,Njemačka,"Werner-Heisenberg-Allee 25, 80939",75024,prirodna trava,Josip,Stanišić,Hrvatska,DF,2000-04-02
FC Bayern München,BAY,Die Bayern,München,Njemačka,1900-02-27,Herbert Hainer,Julian Nagelsmann,Bundesliga,https://fcbayern.com/en,Allianz Arena,München,Njemačka,"Werner-Heisenberg-Allee 25, 80939",75024,prirodna trava,Joshua,Kimmich,Njemačka,MF,1995-02-08
FC Bayern München,BAY,Die Bayern,München,Njemačka,1900-02-27,Herbert Hainer,Julian Nagelsmann,Bundesliga,https://fcbayern.com/en,Allianz Arena,München,Njemačka,"Werner-Heisenberg-Allee 25, 80939",75024,prirodna trava,Robert,Lewandowski,Poljska,FW,1988-08-21
Borussia Dortmund,DOR,Die Borussen,Dortmund,Njemačka,1909-12-19,Reinhard Rauball,Marco Rose,Bundesliga,https://www.bvb.de/eng/,Signal Iduna Park,Dortmund,Njemačka,"Strobelallee 50, 44139",81365,prirodna trava,Roman,Bürki,Švicarska,GK,1990-11-14
Borussia Dortmund,DOR,Die Borussen,Dortmund,Njemačka,1909-12-19,Reinhard Rauball,Marco Rose,Bundesliga,https://www.bvb.de/eng/,Signal Iduna Park,Dortmund,Njemačka,"Strobelallee 50, 44139",81365,prirodna trava,Mats,Hummels,Njemačka,DF,1988-12-16
Borussia Dortmund,DOR,Die Borussen,Dortmund,Njemačka,1909-12-19,Reinhard Rauball,Marco Rose,Bundesliga,https://www.bvb.de/eng/,Signal Iduna Park,Dortmund,Njemačka,"Strobelallee 50, 44139",81365,prirodna trava,Jude,Bellingham,Engleska,MF,2003-06-29
Borussia Dortmund,DOR,Die Borussen,Dortmund,Njemačka,1909-12-19,Reinhard Rauball,Marco Rose,Bundesliga,https://www.bvb.de/eng/,Signal Iduna Park,Dortmund,Njemačka,"Strobelallee 50, 44139",81365,prirodna trava,Erling Braut,Haaland,Norveška,FW,2000-07-21
