klub_id,klub_naziv,kratica,nadimak,klub_grad,klub_drzava,osnovan,predsjednik,trener,liga,web,stadion_id,stadion_naziv,stadion_grad,stadion_drzava,adresa,kapacitet,podloga,igrac_id,ime,prezime,igrac_drzava,pozicija,datum_rod
6,Liverpool FC,LIV,The Reds,Liverpool,Engleska,1892-06-03,Tom Werner,Jürgen Klopp,Premier League,https://www.liverpoolfc.com/,4,Anfield,Liverpool,Engleska,"Anfield Road, L4 0TH",53394,hibridna trava,21,Alisson,Becker,Brazil,GK,1992-10-02
6,Liverpool FC,LIV,The Reds,Liverpool,Engleska,1892-06-03,Tom Werner,Jürgen Klopp,Premier League,https://www.liverpoolfc.com/,4,Anfield,Liverpool,Engleska,"Anfield Road, L4 0TH",53394,hibridna trava,22,Virgil,van Dijk,Nizozemska,DF,1991-07-08
6,Liverpool FC,LIV,The Reds,Liverpool,Engleska,1892-06-03,Tom Werner,Jürgen Klopp,Premier League,https://www.liverpoolfc.com/,4,Anfield,Liverpool,Engleska,"Anfield Road, L4 0TH",53394,hibridna trava,23,Jordan,Henderson,Engleska,MF,1990-06-17
6,Liverpool FC,LIV,The Reds,Liverpool,Engleska,1892-06-03,Tom Werner,Jürgen Klopp,Premier League,https://www.liverpoolfc.com/,4,Anfield,Liverpool,Engleska,"Anfield Road, L4 0TH",53394,hibridna trava,24,Mohamed,Salah,Egipat,FW,1992-06-15
7,Atlético Madrid,ATM,Los Colchoneros,Madrid,Španjolska,1903-04-26,Enrique Cerezo,Diego Simeone,La Liga,https://en.atleticodemadrid.com/,5,Estadio Metropolitano,Madrid,Španjolska,"Avenida de Luis Aragonés 4, 28022",68456,prirodna trava,25,Jan,Oblak,Slovenija,GK,1993-01-07
7,Atlético Madrid,ATM,Los Colchoneros,Madrid,Španjolska,1903-04-26,Enrique Cerezo,Diego Simeone,La Liga,https://en.atleticodemadrid.com/,5,Estadio Metropolitano,Madrid,Španjolska,"Avenida de Luis Aragonés 4, 28022",68456,prirodna trava,26,José María,Giménez,Španjolska,DF,1995-01-20
7,Atlético Madrid,ATM,Los Colchoneros,Madrid,Španjolska,1903-04-26,Enrique Cerezo,Diego Simeone,La Liga,https://en.atleticodemadrid.com/,5,Estadio Metropolitano,Madrid,Španjolska,"Avenida de Luis Aragonés 4, 28022",68456,prirodna trava,27,Marcos,Llorente,Španjolska,MF,1995-01-30
7,Atlético Madrid,ATM,Los Colchoneros,Madrid,Španjolska,1903-04-26,Enrique Cerezo,Diego Simeone,La Liga,https://en.atleticodemadrid.com/,5,Estadio Metropolitano,Madrid,Španjolska,"Avenida de Luis Aragonés 4, 28022",68456,prirodna trava,28,Luis,Suárez,Urugvaj,FW,1987-01-24
8,Real Madrid CF,RMA,Los Blancos,Madrid,Španjolska,1902-03-06,Florentino Pérez,Carlo Ancelotti,La Liga,https://www.realmadrid.com/en,6,Estadio Santiago Bernabéu,Madrid,Španjolska,"Avenida de Concha Espina 1, 28036",81044,hibridna trava,29,Thibaut,Courtois,Belgija,GK,1992-05-11
8,Real Madrid CF,RMA,Los Blancos,Madrid,Španjolska,1902-03-06,Florentino Pérez,Carlo Ancelotti,La Liga,https://www.realmadrid.com/en,6,Estadio Santiago Bernabéu,Madrid,Španjolska,"Avenida de Concha Espina 1, 28036",81044,hibridna trava,30,David,Alaba,Austrija,DF,1992-06-24
8,Real Madrid CF,RMA,Los Blancos,Madrid,Španjolska,1902-03-06,Florentino Pérez,Carlo Ancelotti,La Liga,https://www.realmadrid.com/en,6,Estadio Santiago Bernabéu,Madrid,Španjolska,"Avenida de Concha Espina 1, 28036",81044,hibridna trava,31,Luka,Modrić,Hrvatska,MF,1985-09-09
8,Real Madrid CF,RMA,Los Blancos,Madrid,Španjolska,1902-03-06,Florentino Pérez,Carlo Ancelotti,La Liga,https://www.realmadrid.com/en,6,Estadio Santiago Bernabéu,Madrid,Španjolska,"Avenida de Concha Espina 1, 28036",81044,hibridna trava,32,Karim,Benzema,Francuska,FW,1987-12-19
9,FC Bayern München,BAY,Die Bayern,München,Njemačka,1900-02-27,Herbert Hainer,Julian Nagelsmann,Bundesliga,https://fcbayern.com/en,7,Allianz Arena,München,Njemačka,"Werner-Heisenberg-Allee 25, 80939",75024,prirodna trava,33,Manuel,Neuer,Njemačka,GK,1986-03-27
9,FC Bayern München,BAY,Die Bayern,München,Njemačka,1900-02-27,Herbert Hainer,Julian Nagelsmann,Bundesliga,https://fcbayern.com/en,7,Allianz Arena,München,Njemačka,"Werner-Heisenberg-Allee 25, 80939",75024,prirodna trava,34,Josip,Stanišić,Hrvatska,DF,2000-04-02
9,FC Bayern München,BAY,Die Bayern,München,Njemačka,1900-02-27,Herbert Hainer,Julian Nagelsmann,Bundesliga,https://fcbayern.com/en,7,Allianz Arena,München,Njemačka,"Werner-Heisenberg-Allee 25, 80939",75024,prirodna trava,35,Joshua,Kimmich,Njemačka,MF,1995-02-08
9,FC Bayern München,BAY,Die Bayern,München,Njemačka,1900-02-27,Herbert Hainer,Julian Nagelsmann,Bundesliga,https://fcbayern.com/en,7,Allianz Arena,München,Njemačka,"Werner-Heisenberg-Allee 25, 80939",75024,prirodna trava,36,Robert,Lewandowski,Poljska,FW,1988-08-21
10,Borussia Dortmund,DOR,Die Borussen,Dortmund,Njemačka,1909-12-19,Reinhard Rauball,Marco Rose,Bundesliga,https://www.bvb.de/eng/,8,Signal Iduna Park,Dortmund,Njemačka,"Strobelallee 50, 44139",81365,prirodna trava,37,Roman,Bürki,Švicarska,GK,1990-11-14
10,Borussia Dortmund,DOR,Die Borussen,Dortmund,Njemačka,1909-12-19,Reinhard Rauball,Marco Rose,Bundesliga,https://www.bvb.de/eng/,8,Signal Iduna Park,Dortmund,Njemačka,"Strobelallee 50, 44139",81365,prirodna trava,38,Mats,Hummels,Njemačka,DF,1988-12-16
10,Borussia Dortmund,DOR,Die Borussen,Dortmund,Njemačka,1909-12-19,Reinhard Rauball,Marco Rose,Bundesliga,https://www.bvb.de/eng/,8,Signal Iduna Park,Dortmund,Njemačka,"Strobelallee 50, 44139",81365,prirodna trava,39,Jude,Bellingham,Engleska,MF,2003-06-29
10,Borussia Dortmund,DOR,Die Borussen,Dortmund,Njemačka,1909-12-19,Reinhard Rauball,Marco Rose,Bundesliga,https://www.bvb.de/eng/,8,Signal Iduna Park,Dortmund,Njemačka,"Strobelallee 50, 44139",81365,prirodna trava,40,Erling Braut,Haaland,Norveška,FW,2000-07-21
